hhid,TFPRfei,TFPQfei
1.403052e6,0.4540502,0.70707977
1.403053e6,0.8092947,1.1236056
1.403054e6,0.6308266,0.6994036
1.403055e6,0.619521,0.7295932
1.403056e6,0.58238935,0.6769364
1.403057e6,0.91159934,1.0857109
1.403058e6,1.9571055,1.8677548
1.403059e6,1.8761531,1.4930182
1.40306e6,0.6767278,0.8740076
1.403061e6,0.61771977,0.7587147
1.403062e6,0.7111327,0.8872496
1.403063e6,0.6915649,0.80317116
1.403064e6,0.57009226,0.5708119
1.403065e6,0.774198,0.9219651
1.403067e6,0.7431494,1.0725955
1.403068e6,1.3601531,1.0922283
1.403069e6,,
1.40307e6,1.6226466,0.9859214
1.403071e6,0.7830518,0.8888829
1.403072e6,1.3075595,1.0891068
1.403073e6,1.106999,0.8965157
1.403074e6,1.0476154,1.0556164
1.403075e6,0.47186843,0.7667842
1.403076e6,2.8089526,2.2453132
1.403077e6,0.639249,0.8506496
1.403078e6,1.6898099,1.4319903
1.403079e6,1.1544815,1.1001711
1.40308e6,0.8101547,0.8801664
1.403081e6,0.3019347,0.5316903
1.403082e6,0.7945679,0.9841926
1.403083e6,1.700488,1.6624987
1.404001e6,1.2205243,1.2145
1.404002e6,1.0303221,1.0956291
1.404003e6,1.1169944,1.061326
1.404004e6,0.77607167,0.86210406
1.404005e6,0.5750641,0.5352418
1.404006e6,0.97413176,0.833841
1.404007e6,0.8847503,0.9598678
1.404008e6,1.6986594,1.4140524
1.404009e6,0.6903757,0.72781855
1.40401e6,1.2344798,1.2241404
1.404011e6,1.3969454,1.2213726
1.404012e6,0.19167832,0.2852988
1.404013e6,1.2409606,1.173081
1.404014e6,1.0255965,0.89370424
1.404015e6,0.5409008,0.66363406
1.404016e6,1.4475434,1.2086378
1.404017e6,1.5682943,1.4780604
1.404018e6,0.44669944,0.6238911
1.404019e6,0.8801084,1.1590858
1.40402e6,0.767984,0.82938623
1.404021e6,1.6673877,1.5241387
1.404024e6,1.3800963,1.2080934
1.404026e6,2.33134,1.6857284
1.404027e6,1.304822,1.0469497
1.404028e6,1.484563,1.1780661
1.404029e6,0.84762925,0.863911
1.40403e6,1.6955602,1.3792702
1.404031e6,0.22291574,0.29602522
1.404032e6,0.6323709,0.8227222
1.404033e6,1.5842907,1.3903619
1.404034e6,0.54246414,0.5059941
1.404035e6,0.97782904,0.9578656
1.404036e6,0.6176437,0.6753569
1.404037e6,0.3877125,0.43734324
1.404038e6,1.2230581,1.2851225
1.404039e6,0.6454231,0.5341713
1.40404e6,0.5748181,0.5502871
1.404041e6,1.018851,0.9276942
1.404042e6,0.9727277,0.92878383
1.404043e6,1.535537,1.4288758
1.404046e6,0.47752574,0.5609889
1.404047e6,0.41336662,0.59396046
1.404048e6,1.0339466,1.0584272
1.404049e6,1.217031,1.0449941
1.40405e6,1.9212011,1.4986321
1.404051e6,0.8442289,1.081689
1.404052e6,1.9244512,1.5258212
1.404053e6,2.361905,1.6410943
1.404054e6,1.0180873,1.0810983
1.404055e6,0.9658899,0.9447935
1.404056e6,0.8371042,0.7929157
1.404058e6,1.2253929,1.2968632
1.404059e6,0.9544978,0.93665236
1.40406e6,2.187614,1.6914779
1.404061e6,1.1488676,1.3960342
1.404062e6,1.7255895,1.7716563
1.404063e6,1.6290921,1.4181095
1.404064e6,1.3981099,1.3903964
1.404066e6,1.215877,1.111856
1.404067e6,1.6977612,1.6054114
1.404069e6,1.2764037,1.2609189
1.40407e6,1.1449369,1.1540178
1.404071e6,1.7871054,1.5038872
1.404072e6,1.7974494,1.5830004
1.404073e6,1.7228807,1.4915787
1.404074e6,1.1230587,1.063561
1.404075e6,0.6531754,0.6678117
1.404076e6,0.8503955,0.98447454
1.404077e6,2.8066173,2.061182
1.404078e6,1.9932733,1.5271554
1.404079e6,0.7427125,0.92693776
1.40408e6,1.4192344,1.3103478
1.404082e6,0.4360125,0.5963733
1.404083e6,1.0067993,1.2016821
1.404084e6,1.6773568,1.7713554
1.404085e6,2.091627,2.0374367
1.404086e6,1.3406206,1.3046547
1.404087e6,0.13981542,0.23083282
1.404088e6,1.1059644,1.2218922
1.404089e6,1.0814762,1.1188387
1.40409e6,,
1.405001e6,0.7607975,0.8611945
1.405002e6,1.2545992,1.2035818
1.405003e6,0.9583809,1.0390604
1.405004e6,0.83579344,0.971266
1.405005e6,2.1099162,1.5142533
1.405006e6,0.8078931,0.8899121
1.405007e6,0.6392525,0.8491443
1.405008e6,0.66588616,0.84648144
1.405009e6,0.64473635,0.8170428
1.40501e6,0.5342866,0.7537784
1.405011e6,1.0291432,1.0153253
1.405012e6,0.64140606,0.7709932
1.405013e6,1.5139772,1.3296946
1.405014e6,0.85698754,1.0334764
1.405015e6,0.7126039,0.8182528
1.405016e6,1.8312904,1.5780858
1.405017e6,2.056225,1.6695294
1.405018e6,0.80019456,0.9544348
1.405019e6,0.55279285,0.7463796
1.40502e6,0.5453335,0.69466156
1.405021e6,0.77156174,0.60790414
1.405022e6,1.0354577,1.067746
1.405023e6,2.788649,1.6763171
1.405024e6,0.92593753,0.9881306
1.405025e6,2.1896715,1.6479629
1.405026e6,0.75368905,0.62872887
1.405027e6,1.0510082,0.8563658
1.405028e6,1.4380625,0.8262188
1.405029e6,0.39607275,0.5442148
1.40503e6,1.4658606,1.0330945
1.405031e6,1.2958468,0.91992205
1.405032e6,,
1.405033e6,1.158375,0.7585006
1.405034e6,0.98554647,0.71831155
1.405035e6,0.7880977,0.5935711
1.405036e6,2.0757468,1.4510403
1.405037e6,1.8227835,1.2696564
1.405038e6,1.1367018,1.0053602
1.405039e6,1.3057239,1.1000291
1.40504e6,1.1144948,0.94994086
1.405041e6,1.0421858,1.4013191
1.405042e6,0.62974036,0.8793137
1.405043e6,1.0855839,1.5299416
1.405044e6,1.1249506,1.5821118
1.405046e6,1.2361836,1.6166242
1.405047e6,0.5084164,0.88802713
1.405048e6,1.0985253,1.4980654
