hhid,TFPRfe,TFPQfe
1.403052e6,0.45049122,0.83172107
1.403053e6,0.8029512,1.3216705
1.403054e6,0.625882,0.8226918
1.403055e6,0.61466503,0.8582031
1.403056e6,0.5778244,0.7962642
1.403057e6,0.904454,1.2770959
1.403058e6,1.9417651,2.1969955
1.403059e6,1.8614472,1.7562016
1.40306e6,0.6714234,1.0280743
1.403061e6,0.6128779,0.892458
1.403062e6,0.70555866,1.0436505
1.403063e6,0.68614423,0.9447511
1.403064e6,0.5656237,0.67143244
1.403065e6,0.7681296,1.0844857
1.403067e6,0.73732436,1.2616684
1.403068e6,1.3494918,1.2847621
1.403069e6,,
1.40307e6,1.6099278,1.1597158
1.403071e6,0.776914,1.0455718
1.403072e6,1.2973105,1.2810905
1.403073e6,1.098322,1.0545502
1.403074e6,1.0394039,1.2416965
1.403075e6,0.46816978,0.90195
1.403076e6,2.7869353,2.6411085
1.403077e6,0.6342384,1.0005989
1.403078e6,1.6765647,1.684416
1.403079e6,1.1454324,1.294105
1.40308e6,0.80380446,1.0353189
1.403081e6,0.29956806,0.62541467
1.403082e6,0.78833985,1.1576823
1.403083e6,1.6871591,1.9555577
1.404001e6,2.5951385,2.8688643
1.404002e6,2.190721,2.58807
1.404003e6,2.375008,2.5070403
1.404004e6,1.6501215,2.0364425
1.404005e6,1.2227294,1.264336
1.404006e6,2.0712466,1.9696803
1.404007e6,1.8811994,2.2673779
1.404008e6,3.6117725,3.3402424
1.404009e6,1.4679105,1.7192364
1.40401e6,2.6248114,2.8916366
1.404011e6,2.9702532,2.8850987
1.404012e6,0.40755582,0.67392635
1.404013e6,2.638591,2.7710257
1.404014e6,2.1806734,2.1110878
1.404015e6,1.1500897,1.5676212
1.404016e6,3.0778372,2.855017
1.404017e6,3.3345838,3.4914408
1.404018e6,0.9497942,1.4737414
1.404019e6,1.8713295,2.7379663
1.40402e6,1.632925,1.9591573
1.404021e6,3.5452812,3.6002858
1.404024e6,2.934428,2.853731
1.404026e6,4.957009,3.9819896
1.404027e6,2.7743762,2.4730809
1.404028e6,3.1565502,2.7828012
1.404029e6,1.8022708,2.040711
1.40403e6,3.605183,3.2580807
1.404031e6,0.47397432,0.699264
1.404032e6,1.3445779,1.9434156
1.404033e6,3.3685963,3.2842813
1.404034e6,1.1534138,1.1952477
1.404035e6,2.079108,2.2626483
1.404036e6,1.3132641,1.5953127
1.404037e6,0.82437325,1.0330822
1.404038e6,2.600526,3.0356874
1.404039e6,1.3723301,1.2618073
1.40404e6,1.2222062,1.2998757
1.404041e6,2.1663308,2.191378
1.404042e6,2.0682614,2.193952
1.404043e6,3.2649338,3.375258
1.404046e6,1.0153385,1.3251551
1.404047e6,0.87892026,1.4030398
1.404048e6,2.198428,2.5001926
1.404049e6,2.5877109,2.4684613
1.40405e6,4.084952,3.5400348
1.404051e6,1.7950408,2.555141
1.404052e6,4.091862,3.6042602
1.404053e6,5.021998,3.876556
1.404054e6,2.164707,2.553746
1.404055e6,2.0537224,2.2317698
1.404056e6,1.7798918,1.8730074
1.404058e6,2.6054902,3.0634208
1.404059e6,2.0295,2.212539
1.40406e6,4.6514115,3.9955707
1.404061e6,2.4427786,3.2976804
1.404062e6,3.6690328,4.184966
1.404063e6,3.463855,3.349826
1.404064e6,2.9727294,3.2843628
1.404066e6,2.5852573,2.626401
1.404067e6,3.6098626,3.7922664
1.404069e6,2.713952,2.978514
1.40407e6,2.4344208,2.7259946
1.404071e6,3.7998307,3.5524483
1.404072e6,3.8218246,3.7393277
1.404073e6,3.663273,3.5233734
1.404074e6,2.3879023,2.5123196
1.404075e6,1.3888134,1.5774895
1.404076e6,1.8081524,2.3255033
1.404077e6,5.967566,4.868878
1.404078e6,4.238195,3.6074119
1.404079e6,1.5791916,2.1895912
1.40408e6,3.0176454,3.0952737
1.404082e6,0.9270711,1.4087394
1.404083e6,2.140706,2.838586
1.404084e6,3.566478,4.1842556
1.404085e6,4.447319,4.812787
1.404086e6,2.850493,3.081826
1.404087e6,0.29728237,0.545268
1.404088e6,2.3515556,2.886326
1.404089e6,2.2994876,2.6428952
1.40409e6,,
1.405001e6,0.716228,0.7722907
1.405002e6,1.1811016,1.0793324
1.405003e6,0.90223646,0.931795
1.405004e6,0.7868305,0.87099916
1.405005e6,1.9863119,1.3579322
1.405006e6,0.7605646,0.7980437
1.405007e6,0.6018034,0.7614845
1.405008e6,0.62687683,0.75909656
1.405009e6,0.606966,0.73269695
1.40501e6,0.5029867,0.6759635
1.405011e6,0.96885335,0.9105101
1.405012e6,0.6038308,0.6914012
1.405013e6,1.4252845,1.1924261
1.405014e6,0.806783,0.92678744
1.405015e6,0.6708577,0.73378205
1.405016e6,1.7240086,1.4151751
1.405017e6,1.9357661,1.4971788
1.405018e6,0.75331706,0.85590553
1.405019e6,0.5204088,0.6693285
1.40502e6,0.5133864,0.6229495
1.405021e6,0.72636163,0.5451484
1.405022e6,0.97479796,0.95751935
1.405023e6,2.6252828,1.5032657
1.405024e6,0.87169373,0.8861229
1.405025e6,2.061395,1.4778386
1.405026e6,0.709536,0.5638233
1.405027e6,0.98943746,0.7679605
1.405028e6,1.3538171,0.74092567
1.405029e6,0.37286976,0.48803383
1.40503e6,1.3799866,0.926445
1.405031e6,1.2199328,0.8249557
1.405032e6,,
1.405033e6,1.0905144,0.6801982
1.405034e6,0.9278106,0.644158
1.405035e6,0.7419289,0.532295
1.405036e6,1.9541441,1.3012449
1.405037e6,1.7160002,1.1385859
1.405038e6,1.0701109,0.9015738
1.405039e6,1.2292311,0.9864697
1.40504e6,1.0492048,0.85187554
1.405041e6,0.9811318,1.2566566
1.405042e6,0.59284854,0.7885394
1.405043e6,1.0219877,1.3720009
1.405044e6,1.0590482,1.4187855
1.405046e6,1.1637648,1.449735
1.405047e6,0.47863206,0.79635334
1.405048e6,1.0341709,1.3434154
1.405049e6,0.65206814,1.0601083
1.40505e6,0.5981418,0.9058621
