hhid,year,TFPRcs,TFPQcs
1.402027e6,1997.0,0.06537196,0.08200785
1.402027e6,1998.0,0.07354619,0.09123444
1.402027e6,2000.0,0.089874536,0.0811895
1.402027e6,2002.0,0.40863436,0.37205744
1.402028e6,1995.0,0.09146192,0.09287272
1.402028e6,1996.0,0.23178723,0.16687457
1.402028e6,1997.0,0.18212914,0.16670974
1.402028e6,1998.0,0.32198521,0.2991267
1.402028e6,1999.0,0.11814751,0.093423456
1.402028e6,2002.0,0.27941966,0.19003205
1.402029e6,1996.0,0.14170887,0.12293651
1.402029e6,1997.0,0.14013527,0.12219746
1.402029e6,1998.0,0.34334904,0.32312164
1.402029e6,2000.0,0.12892374,0.12122049
1.402029e6,2001.0,0.10890639,0.10705609
1.402029e6,2002.0,0.11793022,0.11175838
1.40203e6,1993.0,0.11542681,0.12649031
1.40203e6,1995.0,0.049105924,0.07218019
1.40203e6,1996.0,0.09063253,0.1305776
1.40203e6,1997.0,0.07370899,0.1035662
1.40203e6,1999.0,0.063937694,0.06508122
1.40203e6,2000.0,0.07736408,0.08248614
1.40203e6,2001.0,0.1407405,0.16213736
1.40203e6,2002.0,0.15740332,0.17712784
1.402031e6,1993.0,0.08444578,0.10647883
1.402031e6,1996.0,0.082588404,0.130393
1.402031e6,1997.0,0.06025968,0.09955493
1.402031e6,1998.0,0.12446216,0.16527978
1.402031e6,2002.0,0.067976475,0.114137545
1.402032e6,1993.0,0.13510181,0.17247911
1.402032e6,1995.0,0.05465154,0.09019963
1.402032e6,1996.0,0.106310785,0.1688106
1.402032e6,1997.0,0.08470029,0.11471274
1.402032e6,1999.0,0.1286344,0.16776468
1.402032e6,2000.0,0.10489646,0.15026528
1.402032e6,2001.0,0.098034054,0.15496351
1.402032e6,2002.0,0.10215161,0.14810856
1.402033e6,1993.0,0.16485025,0.119775526
1.402033e6,1995.0,0.11388969,0.09624934
1.402033e6,1996.0,0.19901596,0.177859
1.402033e6,1997.0,0.25239465,0.2267247
1.402033e6,1998.0,0.33769065,0.28310838
1.402033e6,1999.0,0.32057396,0.24324787
1.402033e6,2000.0,0.2672367,0.20851994
1.402033e6,2001.0,0.38913223,0.34076613
1.402033e6,2002.0,0.3986909,0.336585
1.402036e6,1993.0,0.23295766,0.21895215
1.402036e6,1995.0,0.13129282,0.17794488
1.402036e6,1996.0,0.15536669,0.18358251
1.402036e6,1997.0,0.17092858,0.20715314
1.402036e6,1998.0,0.235904,0.2832314
1.402036e6,2000.0,0.118849605,0.12986994
1.402036e6,2002.0,0.18859693,0.23798461
1.402037e6,1993.0,0.11006414,0.11704516
1.402037e6,1995.0,0.09605192,0.093497165
1.402037e6,1996.0,0.31911883,0.28008962
1.402037e6,1997.0,0.13529873,0.18080306
1.402037e6,1998.0,0.10359554,0.15116295
1.402037e6,2000.0,0.19303532,0.22104907
1.402037e6,2001.0,0.095586315,0.11558667
1.402037e6,2002.0,0.18118125,0.22273737
1.402038e6,1993.0,0.17704578,0.20793119
1.402038e6,1995.0,0.09294072,0.111702606
1.402038e6,1997.0,0.06560246,0.090672664
1.402038e6,2000.0,0.05020819,0.07194385
1.402038e6,2001.0,0.043376688,0.07399506
1.402038e6,2002.0,0.08964453,0.13715948
1.40204e6,1993.0,0.10008176,0.107659
1.40204e6,1995.0,0.081597656,0.10249283
1.40204e6,1996.0,0.10114859,0.12971137
1.40204e6,1997.0,0.07867417,0.10111286
1.40204e6,1998.0,0.07222887,0.07804694
1.40204e6,2000.0,0.076828346,0.11860032
1.40204e6,2001.0,0.058433514,0.10026067
1.40204e6,2002.0,0.08253886,0.14099893
1.402041e6,1993.0,0.115615524,0.12645769
1.402041e6,1995.0,0.07169748,0.0908189
1.402041e6,1998.0,0.14358501,0.1457444
1.402041e6,2000.0,0.07757101,0.10859629
1.402041e6,2001.0,0.070407465,0.09405309
1.402041e6,2002.0,0.17856216,0.20826942
1.402042e6,1993.0,0.09454147,0.084652424
1.402042e6,1996.0,0.07837337,0.08712326
1.402042e6,1997.0,0.08526955,0.08487624
1.402042e6,1998.0,0.16513005,0.2868955
1.402042e6,1999.0,0.087904334,0.14838481
1.402042e6,2000.0,0.17923014,0.2180047
1.402042e6,2001.0,0.2603453,0.2391589
1.402042e6,2002.0,0.35239115,0.31207702
1.402043e6,1993.0,0.124664314,0.106202506
1.402043e6,1995.0,0.17571697,0.16828406
1.402043e6,1997.0,0.078706324,0.06958049
1.402043e6,1998.0,0.163381,0.14659493
1.402043e6,1999.0,0.38190702,0.31986925
1.402043e6,2000.0,0.08360499,0.07200783
1.402043e6,2002.0,0.20868288,0.1885511
1.402044e6,1995.0,0.12398925,0.16997734
1.402044e6,1996.0,0.10183561,0.14977351
1.402044e6,2000.0,0.09807447,0.1326577
1.402044e6,2001.0,0.10052173,0.13443506
1.402046e6,1996.0,0.11780483,0.11666038
1.402046e6,1997.0,0.08108198,0.080707684
1.402046e6,1998.0,0.12576362,0.1270528
1.402046e6,2000.0,0.27342483,0.24905811
1.402046e6,2001.0,0.12147,0.115676686
1.402046e6,2002.0,0.34929973,0.2948825
1.402047e6,1993.0,0.14030908,0.14780952
1.402047e6,1995.0,0.09815218,0.120528385
1.402047e6,1996.0,0.12776558,0.14723821
1.402047e6,1997.0,0.18443957,0.20597437
1.402047e6,1998.0,0.23372518,0.2336819
1.402047e6,1999.0,0.16354838,0.1612918
1.402047e6,2002.0,0.26901126,0.3419649
1.402048e6,1993.0,0.0840939,0.10743594
1.402048e6,1995.0,0.08228635,0.12276241
1.402048e6,1996.0,0.07638044,0.11223766
1.402048e6,1997.0,0.0616104,0.09952446
1.402048e6,1998.0,0.11243629,0.15434891
1.402048e6,2001.0,0.070041604,0.10758962
1.402048e6,2002.0,0.1197781,0.18262155
1.402049e6,1993.0,0.16770196,0.18875787
1.402049e6,1995.0,0.23964106,0.23843214
1.402049e6,1996.0,0.11978718,0.13176003
1.402049e6,1997.0,0.04740252,0.06783402
1.402049e6,1998.0,0.12337554,0.14464176
1.402049e6,2001.0,0.067577966,0.08860992
1.402049e6,2002.0,0.121898845,0.1698111
1.40205e6,1993.0,0.1464482,0.17026137
1.40205e6,1995.0,0.1018249,0.14019403
1.40205e6,1996.0,0.06710931,0.084594354
1.40205e6,1997.0,0.124657445,0.15774082
1.40205e6,1998.0,0.16304615,0.16200912
1.40205e6,1999.0,0.061463244,0.09237608
1.40205e6,2000.0,0.053294472,0.072820194
1.40205e6,2001.0,0.059468456,0.08057491
1.40205e6,2002.0,0.091030106,0.12107229
1.402051e6,1993.0,0.10752953,0.13948382
1.402051e6,1995.0,0.06019729,0.097383246
1.402051e6,1996.0,0.052924845,0.08116772
1.402051e6,1997.0,0.064516075,0.09725484
1.402051e6,1998.0,0.08992186,0.12891148
1.402051e6,2002.0,0.10916276,0.11515581
1.402052e6,1993.0,0.10962169,0.13623507
1.402052e6,1995.0,0.054594267,0.08201561
